,geographic_group,children_per_woman_total_fertility,child_mortality_0_5_year_olds_dying_per_1000_born,co2_emissions_tonnes_per_person,corruption_perception_index_cpi,life_expectancy_years,vccin_effect_dag
49,Europe,0.012195121951219523,0.019540791402051786,0.3579815266340545,0.410958904109589,0.8740458015267176,0.6499999999999999
96,Africa,0.8821138211382115,1.0,0.030173845925789613,0.136986301369863,0.20992366412213714,0.43461538461538457
36,Americas,0.25609756097560976,0.10519459371437877,0.1325594352691008,0.2191780821917808,0.7137404580152671,0.08076923076923077
134,Americas,0.13821138211382117,0.03761602344894968,0.8619864746745179,0.821917808219178,0.7977099236641219,0.3692307692307692
110,Eastern Mediterranean,0.2703252032520326,0.051783097215437224,1.0,0.4931506849315068,0.6984732824427482,0.0923076923076923
27,Africa,0.9999999999999999,0.7752808988764046,0.0,0.0821917808219178,0.12977099236641187,0.3384615384615385
128,Europe,0.16666666666666669,0.08483960267057482,0.24654838396385068,0.3561643835616438,0.778625954198473,0.3192307692307692
127,Eastern Mediterranean,0.1971544715447155,0.12229278619117408,0.13204827406419162,0.3013698630136986,0.7633587786259546,0.16538461538461535
105,Europe,0.012195121951219523,0.02182055039895783,0.4182985488133392,0.6438356164383561,0.7480916030534353,0.39615384615384613
118,,0.0060975609756097615,0.01074743527112848,0.596182648121738,0.5205479452054794,0.9312977099236641,0.24615384615384614
7,Europe,0.17073170731707316,0.19638495359062044,0.19543226347293144,0.1780821917808219,0.48091603053435117,0.5115384615384615
61,,0.3556910569105691,0.014167073766487546,0.4147204203789749,0.6164383561643836,0.9427480916030531,0.0
119,Europe,0.020325203252032575,0.008956196059273731,0.29510869843022386,0.5753424657534246,0.9427480916030531,0.27307692307692305
8,South-Eastern Asia,0.1788617886178862,0.2761765184823319,0.02199526664724254,0.1232876712328767,0.5572519083969465,0.19615384615384612
3,Americas,0.21544715447154472,0.0758834066113011,0.23530283745584843,0.2191780821917808,0.7099236641221376,0.05
131,Europe,0.05691056910569109,0.05959941377625794,0.25319347962767014,0.1506849315068493,0.4312977099236641,0.5923076923076922
63,Western Pacific,0.038617886178861804,0.006839276990718124,0.4878164726809893,0.8082191780821917,1.0,0.38076923076923075
16,Europe,0.060975609756097615,0.048851978505129456,0.34009088446223285,0.34246575342465757,0.6450381679389312,0.27307692307692305
101,Western Pacific,0.5,0.4031916625956685,0.044639708024719754,0.1232876712328767,0.0,0.38076923076923075
47,Europe,0.04065040650406504,0.013678553981436251,0.4959950519595364,0.8904109589041096,0.8702290076335881,0.30769230769230765
56,South-Eastern Asia,0.22357723577235777,0.3372414916137437,0.08808841044200108,0.3013698630136986,0.4007633587786259,0.3
107,Europe,0.05284552845528456,0.05723823481517669,0.1979880694974774,0.410958904109589,0.6564885496183201,0.6
57,South-Eastern Asia,0.23170731707317077,0.2102263475004071,0.09831163454018492,0.273972602739726,0.5,0.2692307692307692
121,Europe,0.13414634146341464,0.0056179775280898875,0.22354612974293703,1.0,0.9274809160305346,0.22692307692307692
59,Eastern Mediterranean,0.646341463414634,0.22243934212668948,0.23632515986566682,0.0,0.7022900763358777,0.0
13,Europe,0.020325203252032575,0.03224230581338544,0.2736399278240378,0.3013698630136986,0.7061068702290076,1.0
99,Eastern Mediterranean,0.4674796747967479,0.6010421755414428,0.045457565952574455,0.1917808219178082,0.30916030534351124,0.48461538461538456
70,Europe,0.05691056910569109,0.022716170004885194,0.1846978781698384,0.547945205479452,0.6488549618320612,0.55
6,Europe,0.04878048780487809,0.012457254518808011,0.3917181661580612,0.821917808219178,0.9007633587786259,0.45384615384615384
106,Europe,0.0,0.012050154697931935,0.2557492856522161,0.6575342465753424,0.9007633587786259,0.16923076923076924
48,Africa,0.5670731707317074,0.42761765184823325,0.02772027214222549,0.42465753424657526,0.24809160305343525,0.3230769230769231
43,Europe,0.1483739837398374,0.015632633121641423,0.2690394769798551,0.7397260273972602,0.9389312977099236,0.6653846153846154
83,Americas,0.1971544715447155,0.1027519947891223,0.20054387552202338,0.2054794520547945,0.6870229007633588,0.5384615384615384
104,Western Pacific,0.3475609756097561,0.22732453997720245,0.0553740933278128,0.2602739726027397,0.4312977099236641,0.08461538461538462
100,,0.2621951219512195,0.1198501872659176,0.13818220852310192,0.31506849315068486,0.8015267175572522,0.19615384615384612
125,South-Eastern Asia,0.05081300813008133,0.06774141019377951,0.20770013239075205,0.3013698630136986,0.7748091603053435,0.25
41,Africa,0.6239837398373984,0.4992672203224231,0.0046669018008209245,0.2328767123287671,0.3549618320610688,0.08076923076923077
103,Americas,0.23983739837398377,0.11333659013190035,0.08451028200763673,0.273972602739726,0.8435114503816794,0.30769230769230765
97,Europe,0.054878048780487854,0.08239700374531836,0.17243000925201782,0.3561643835616438,0.7099236641221376,0.43846153846153846
55,Europe,0.14227642276422764,0.0,0.5450665276308189,0.8630136986301369,0.9465648854961835,0.08461538461538462
87,Eastern Mediterranean,0.26016260162601623,0.1898713564566032,0.08808841044200108,0.273972602739726,0.5954198473282442,0.2
60,Europe,0.1504065040650407,0.0134342940889106,0.42085435483788514,0.8082191780821917,0.9045801526717554,0.23846153846153845
33,Europe,0.054878048780487854,0.007897736524995928,0.5036624700331743,0.547945205479452,0.7977099236641219,0.2807692307692307
